"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 183건","","","","739,581","","",""
"1","과자","아이치현","2018-08-20","65","불검출","불검출","적합"
"2","소스","나가사키현","2018-07-12","21,832","불검출","불검출","적합"
"3","소스","나가사키현","2018-08-23","3,701","불검출","불검출","적합"
"4","소스","나가사키현","2018-09-04","7,007","불검출","불검출","적합"
"5","소스","나가사키현","2018-08-27","3,391","불검출","불검출","적합"
"6","소스","나가사키현","2018-09-01","1,227","불검출","불검출","적합"
"7","곡류가공품","나가사키현","2018-08-21","960","불검출","불검출","적합"
"8","소스","나가사키현","2018-08-29","1,642","불검출","불검출","적합"
"9","기타가공품","오카야마현","2018-03-20","189","불검출","불검출","적합"
"10","건면","시즈오카현","2018-07-20","50","불검출","불검출","적합"
"11","청주","후쿠이현","2018-07-19","173","불검출","불검출","적합"
"12","헤미셀룰라아제","효고현","2018-08-22","40","불검출","불검출","적합"
"13","기타천연착향료","히로시마현","2018-08-29","120","불검출","불검출","적합"
"14","맥주","오이타현","2018-08-30","65,124","불검출","불검출","적합"
