"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 139건","","","","1,487,062","","",""
"1","소스","나가사키현","2018-07-19","1,652","불검출","불검출","적합"
"2","소스","히로시마현","2018-07-04","656","불검출","불검출","적합"
"3","소스","나가사키현","2018-07-05","1,263","불검출","불검출","적합"
"4","소스","나가사키현","2018-08-23","3,011","불검출","불검출","적합"
"5","소스","히로시마현","2018-07-31","369","불검출","불검출","적합"
"6","소스","히로시마현","2018-07-26","1,476","불검출","불검출","적합"
"7","곡류가공품","시즈오카현","2018-07-04","1,000","불검출","불검출","적합"
"8","소스","나가사키현","2018-08-23","3,998","불검출","불검출","적합"
"9","복합조미식품","히로시마현","2018-09-04","900","불검출","불검출","적합"
"10","소스","히로시마현","2018-03-19","108","불검출","불검출","적합"
"11","청주","효고현","2018-08-01","162","불검출","불검출","적합"
"12","청주","지바현","2018-09-01","156","불검출","불검출","적합"
"13","혼합제제","시가현","2018-08-29","1,602","불검출","불검출","적합"
"14","어묵","시마네현","2018-07-18","360","불검출","불검출","적합"
