"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수 중량(㎏) 건수","","중량(㎏)",""
"합계","258","2,195,888","0","0","201","2,174,347","1","24","56","21,517"
"9.4","89","552,274","0","0","60","539,972","0","0","29","12,302"
"9.5","106","1,139,273","0","0","85","1,131,195","1","24","20","8,054"
"9.6","63","504,341","0","0","56","503,180","0","0","7","1,161"
"","","","","","","","","","",""
"","","","","","","","","","",""
