"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 98건","","","","188,849","","",""
"1","소스류","오사카부","2017-06-05","296","불검출","불검출","적합"
"2","소스류","시즈오카현","2017-07-24","2,321","불검출","불검출","적합"
"3","과자(쿠키)","오사카부","2017-08-15","26","불검출","불검출","적합"
"4","빵류(카스텔라)","오사카부","2017-08-06","309","불검출","불검출","적합"
"5","초콜릿가공품","오사카부","2017-08-15","41","불검출","불검출","적합"
"6","청주","아키타현","2017-08-17","233","불검출","불검출","적합"
"7","청주","아키타현","2017-08-17","39","불검출","불검출","적합"
"8","빵류(그외 빵류)","오사카부","2017-08-12","156","불검출","불검출","적합"
"9","빵류(파이)","오사카부","2017-08-12","90","불검출","불검출","적합"
"10","청주","아키타현","2017-08-18","244","불검출","불검출","적합"
"11","볶은커피","효고현","2017-08-01","24,846","불검출","불검출","적합"
"12","볶은커피","효고현","2017-08-01","1,920","불검출","불검출","적합"
"13","볶은커피","시즈오카현","2017-08-03","265","불검출","불검출","적합"
