"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 110건","","","","223,713","","",""
"1","소스류","후쿠오카현","2017-08-03","1,500","불검출","불검출","적합"
"2","소스류","후쿠오카현","2017-08-04","1,000","불검출","불검출","적합"
"3","소스류","후쿠오카현","2017-08-07","300","불검출","불검출","적합"
"4","소스류","후쿠오카현","2017-08-02","1,000","불검출","불검출","적합"
"5","소스류","후쿠오카현","2017-08-05","120","불검출","불검출","적합"
"6","유탕면류","나가사키현","2017-08-17","20","불검출","불검출","적합"
"7","소스류","후쿠오카현","2017-08-04","1,350","불검출","불검출","적합"
"8","소스류","미야자키현","2017-07-26","500","불검출","불검출","적합"
"9","양조간장","지바현","2017-03-06","64","불검출","불검출","적합"
"10","소스류","지바현","2017-07-07","182","불검출","불검출","적합"
"11","양조간장","지바현","2017-07-13","734","불검출","불검출","적합"
"12","소스류","지바현","2017-07-02","24","불검출","불검출","적합"
"13","소스류","지바현","2017-08-03","2,209","불검출","불검출","적합"
