"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","152,263","-","-","-"
"1","활방어","에히메현","2016-12-06","7,760","불검출","불검출","적합"
"2","활방어","에히메현","2016-12-06","7,728","불검출","불검출","적합"
"3","활돔(쥐돔)","미야자키현","2016-12-06","286","불검출","불검출","적합"
"4","활방어","에히메현","2016-12-06","9,810","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2016-12-06","7,437","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-12-06","3,020","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-12-06","3,020","불검출","불검출","적합"
"8","활꼬막","사가현","2016-12-06","2,000","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-12-06","2,390","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-12-06","3,600","불검출","불검출","적합"
"11","냉장갈치","에히메현","2016-12-06","170","불검출","불검출","적합"
"12","냉장갈치","효고현","2016-12-06","112","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-12-06","3,000","불검출","불검출","적합"
"14","냉장갈치","후쿠오카현","2016-12-06","1,702","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-12-06","3,386","불검출","불검출","적합"
"16","냉장갈치","오이타현","2016-12-06","340","불검출","불검출","적합"
"17","냉장가오리","야마구치현","2016-12-06","130","불검출","불검출","적합"
"18","냉장홍어","야마구치현","2016-12-06","500","불검출","불검출","적합"
"19","냉장홍어","홋카이도","2016-12-06","4,219","불검출","불검출","적합"
