"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","62,674","-","-","-"
"1","냉동다랑어
(남방참다랑어)","태평양","2016-12-02","1,102","불검출","불검출","적합"
"2","활장어(먹장어)","후쿠오카현","2016-12-02","1,682","불검출","불검출","적합"
"3","냉장명태","홋카이도","2016-12-02","4,240","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-12-02","3,000","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-12-02","1,014","불검출","불검출","적합"
"6","냉장갈치","후쿠오카현","2016-12-02","655","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-12-02","4,860","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-12-02","3,536","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-12-02","290","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-12-02","203","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-12-02","4,860","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-12-02","5,350","불검출","불검출","적합"
"13","냉장갈치","오이타현","2016-12-02","865","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-12-02","3,000","불검출","불검출","적합"
