"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","290,078","-","-","-"
"1","활돔(참돔)","고치현","2016-12-27","4,814","불검출","불검출","적합"
"2","활방어","에히메현","2016-12-27","8,002","불검출","불검출","적합"
"3","활돔(참돔)","고치현","2016-12-27","11,703","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-12-27","3,912","불검출","불검출","적합"
"5","활방어","나가사키현","2016-12-27","5,206","불검출","불검출","적합"
"6","활방어","나가사키현","2016-12-27","6,709","불검출","불검출","적합"
"7","활방어","나가사키현","2016-12-27","11,264","불검출","불검출","적합"
"8","활방어","에히메현","2016-12-27","5,742","불검출","불검출","적합"
"9","활가리비","홋카이도","2016-12-27","7,000","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2016-12-27","9,000","불검출","불검출","적합"
"11","활우렁쉥이","홋카이도","2016-12-27","4,000","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2016-12-27","3,500","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2016-12-27","77","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-12-27","2,000","불검출","불검출","적합"
"15","냉동다랑어(남방
참다랑어,F,횟감)","대서양","2016-12-27","550","불검출","불검출","적합"
"16","활우렁쉥이","홋카이도","2016-12-27","17,181","불검출","불검출","적합"
