"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,428,293","-","-","-"
"1","냉동꽁치","대만","2016-12-23","116,790","불검출","불검출","적합"
"2","냉동명태","러시아","2016-12-23","503,788","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-12-23","112,700","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2016-12-23","18,600","불검출","불검출","적합"
"5","냉동대구","러시아","2016-12-23","64,135","불검출","불검출","적합"
"6","냉동꽁치","대만","2016-12-23","22,040","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-12-23","22,335","불검출","불검출","적합"
"8","냉동대구(F)","러시아","2016-12-23","1,000","불검출","불검출","적합"
"9","냉동꽁치","대만","2016-12-23","226,757","불검출","불검출","적합"
"10","냉동가자미
(각시가자미)","러시아","2016-12-23","23,000","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-12-23","46,238","불검출","불검출","적합"
"12","냉동꽁치","대만","2016-12-23","45,275","불검출","불검출","적합"
"13","냉동명태(F)","러시아","2016-12-23","20,000","불검출","불검출","적합"
"14","냉동꽁치","대만","2016-12-23","201,035","불검출","불검출","적합"
"15","냉동상어
(청상아리)","대만","2016-12-23","4,600","불검출","불검출","적합"
