"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장홍어","홋카이도","2016-12-29","3,107","불검출","불검출","적합"
"18","냉장갈치","후쿠오카현","2016-12-29","1,970","불검출","불검출","적합"
"19","냉장갈치","와카야마현","2016-12-29","5,744","불검출","불검출","적합"
"20","냉동돔(황돔)","후쿠오카현","2016-12-29","648","불검출","불검출","적합"
"21","활꼬막","사가현","2016-12-29","1,197","불검출","불검출","적합"
"22","냉동돔(황돔)","나가사키현","2016-12-29","2,460","불검출","불검출","적합"
"23","냉동돔(참돔)","후쿠오카현","2016-12-29","1,404","불검출","불검출","적합"
"24","냉동돔(황돔)","야마구치현","2016-12-29","910","불검출","불검출","적합"
"25","냉장갈치","후쿠오카현","2016-12-29","435","불검출","불검출","적합"
"26","냉장명태","홋카이도","2016-12-29","4,000","불검출","불검출","적합"
"27","냉장갈치","가나가와현","2016-12-29","5,656","불검출","불검출","적합"
"28","냉장돔(참돔)","야마구치현","2016-12-29","120","불검출","불검출","적합"
"29","냉장홍어","야마구치현","2016-12-29","240","불검출","불검출","적합"
"30","냉장홍어","홋카이도","2016-12-29","1,350","불검출","불검출","적합"
"31","냉장돔(황돔)","후쿠오카현","2016-12-29","128","불검출","불검출","적합"
"32","냉장갈치","오이타현","2016-12-29","460","불검출","불검출","적합"
"33","냉장갈치","야마구치현","2016-12-29","434","불검출","불검출","적합"
"34","냉장가오리","야마구치현","2016-12-29","36","불검출","불검출","적합"
