"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","578,709","-","-","-"
"1","냉동꽁치","대만","2016-12-26","48,420","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-12-26","36,782","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-12-26","35,518","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-12-26","48,484","불검출","불검출","적합"
"5","냉동꽁치","대만","2016-12-26","24,288","불검출","불검출","적합"
"6","냉동틸라피아","베트남","2016-12-26","10,262","불검출","불검출","적합"
"7","냉동대구(F)","러시아","2016-12-26","1,200","불검출","불검출","적합"
"8","냉동꽁치","대만","2016-12-26","22,728","불검출","불검출","적합"
"9","냉동꽁치","대만","2016-12-26","143,893","불검출","불검출","적합"
"10","냉동꽁치","대만","2016-12-26","94,860","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-12-26","112,274","불검출","불검출","적합"
