"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장갈치","가나가와현","2016-12-26","6,592","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-12-26","1,716","불검출","불검출","적합"
"19","냉장대구","홋카이도","2016-12-26","600","불검출","불검출","적합"
"20","냉장돔(참돔)","야마구치현","2016-12-26","105","불검출","불검출","적합"
"21","냉장돔(황돔)","야마구치현","2016-12-26","80","불검출","불검출","적합"
"22","냉장홍어","야마구치현","2016-12-26","260","불검출","불검출","적합"
"23","냉장갈치","와카야마현","2016-12-26","1,488","불검출","불검출","적합"
"24","냉장갈치","야마구치현","2016-12-26","380","불검출","불검출","적합"
"25","냉장가오리","야마구치현","2016-12-26","192","불검출","불검출","적합"
"26","냉장돔(황돔)","야마구치현","2016-12-26","175","불검출","불검출","적합"
"27","냉장돔(참돔)","야마구치현","2016-12-26","140","불검출","불검출","적합"
"28","냉장명태","홋카이도","2016-12-26","3,210","불검출","불검출","적합"
"29","냉장갈치","오이타현","2016-12-26","860","불검출","불검출","적합"
"30","냉장갈치","후쿠오카현","2016-12-26","296","불검출","불검출","적합"
"31","냉장갈치","에히메현","2016-12-26","904","불검출","불검출","적합"
"32","냉장돔(황돔)","야마구치현","2016-12-26","130","불검출","불검출","적합"
"33","냉장돔(황돔)","나가사키현","2016-12-26","640","불검출","불검출","적합"
"34","냉장민어(수조기)","야마구치현","2016-12-26","42","불검출","불검출","적합"
