"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"35","활가리비","홋카이도","2016-12-28","6,965","불검출","불검출","적합"
"36","활장어(먹장어)","나가사키현","2016-12-28","2,631","불검출","불검출","적합"
"37","활장어(먹장어)","나가사키현","2016-12-28","400","불검출","불검출","적합"
"38","활장어(먹장어)","나가사키현","2016-12-28","1,250","불검출","불검출","적합"
"39","활장어(먹장어)","시마네현","2016-12-28","856","불검출","불검출","적합"
"40","활우렁쉥이","홋카이도","2016-12-28","1,841","불검출","불검출","적합"
"41","활우렁쉥이","홋카이도","2016-12-28","7,373","불검출","불검출","적합"
"42","활게(참게)","후쿠오카현","2016-12-28","800","불검출","불검출","적합"
"43","활우렁쉥이","홋카이도","2016-12-28","6,416","불검출","불검출","적합"
"44","활가리비","홋카이도","2016-12-28","7,351","불검출","불검출","적합"
"45","활우렁쉥이","홋카이도","2016-12-28","8,724","불검출","불검출","적합"
"46","활우렁쉥이","홋카이도","2016-12-28","9,850","불검출","불검출","적합"
"47","활우렁쉥이","홋카이도","2016-12-28","9,875","불검출","불검출","적합"
"48","활가리비","홋카이도","2016-12-28","6,982","불검출","불검출","적합"
