"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,354,625.5","-","-","-"
"1","냉동꽁치","대만","2016-12-28","66.5","불검출","불검출","적합"
"2","냉동꽁치","대만","2016-12-28","13,148","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-12-28","121,951.5","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-12-28","22,811.5","불검출","불검출","적합"
"5","냉동꽁치","대만","2016-12-28","658,275","불검출","불검출","적합"
"6","냉동게(톱날꽃게)","미얀마","2016-12-28","1,304","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-12-28","66,950","불검출","불검출","적합"
"8","냉동꽁치","대만","2016-12-28","94,840","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2016-12-28","23,250","불검출","불검출","적합"
"10","냉동가자미
(각시가자미)","러시아","2016-12-28","22,500","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2016-12-28","21,500","불검출","불검출","적합"
"12","냉동꽁치","대만","2016-12-28","302,029","불검출","불검출","적합"
"13","냉동명태","러시아","2016-12-28","6,000","불검출","불검출","적합"
