"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","117,388","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2016-03-25","520","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2016-03-25","7,842","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2016-03-25","10,046","불검출","불검출","적합"
"4","냉동상어
(
진환도상어
,F)","태평양","2016-03-25","1,544","불검출","불검출","적합"
"5","냉장갈치","시즈오카현","2016-03-25","1,888","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-03-25","9,100","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2016-03-25","3,121","불검출","불검출","적합"
"8","냉동멸치","가고시마현","2016-03-25","23,250","불검출","불검출","적합"
"9","냉장대구","홋카이도","2016-03-25","1,180","불검출","불검출","적합"
"10","냉장갈치","오이타현","2016-03-25","495","불검출","불검출","적합"
"11","냉장준치","효고현","2016-03-25","140","불검출","불검출","적합"
"12","냉장갈치","효고현","2016-03-25","416","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-03-25","6,000","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-03-25","3,324","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-03-25","3,324","불검출","불검출","적합"
"16","냉장갈치","효고현","2016-03-25","550","불검출","불검출","적합"
