"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 166건","","","","282,094","","",""
"1","어묵","사가현","2017-11-01","900","불검출","불검출","적합"
"2","어묵","사가현","2017-11-01","720","불검출","불검출","적합"
"3","어묵","사가현","2017-08-01","1,098","불검출","불검출","적합"
"4","어묵","사가현","2017-11-01","974","불검출","불검출","적합"
"5","어묵","사가현","2017-11-01","1,151","불검출","불검출","적합"
"6","어묵","사가현","2017-11-01","600","불검출","불검출","적합"
"7","어묵","사가현","2017-09-01","1,176","불검출","불검출","적합"
"8","어묵","사가현","2017-10-01","1,001","불검출","불검출","적합"
"9","청주","히로시마현","2017-09-08","482","불검출","불검출","적합"
"10","청주","이와테현","2017-10-27","346","불검출","불검출","적합"
"11","청주","이와테현","2017-10-27","605","불검출","불검출","적합"
"12","청주","히로시마현","2017-09-13","72","불검출","불검출","적합"
"13","청주","후쿠이현","2017-08-08","17","불검출","불검출","적합"
