"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"처리
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","226","1,540,953","0","0","180","1,501,271","2","960","44","38,721"
"11.26","109","1,315,899","0","0","82","1,308,667","1","43","26","7,189"
"11.27","117","225,054","0","0","98","192,604","1","917","18","31,532"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
