"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","92,128","-","-","-"
"1","활돔(참돔)","에히메현","2016-09-30","6,173","불검출","불검출","적합"
"2","활돔(참돔)","나가사키현","2016-09-30","4,358","불검출","불검출","적합"
"3","활돔(쥐돔)","나가사키현","2016-09-30","1,453","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-09-30","12,886","불검출","불검출","적합"
"5","활돔(참돔)","나가사키현","2016-09-30","8,999","불검출","불검출","적합"
"6","활돔(쥐돔)","나가사키현","2016-09-30","3,164","불검출","불검출","적합"
"7","냉동새치
(황새치,F,횟감)","태평양","2016-09-30","889","불검출","불검출","적합"
"8","냉장갈치","오이타현","2016-09-30","425","불검출","불검출","적합"
"9","냉장돔(황돔)","야마구치현","2016-09-30","679","불검출","불검출","적합"
"10","냉장가오리","야마구치현","2016-09-30","90","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2016-09-30","280","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-09-30","1,170","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-09-30","2,166","불검출","불검출","적합"
"14","냉장갈치","오이타현","2016-09-30","330","불검출","불검출","적합"
"15","냉장갈치","미야자키현","2016-09-30","375","불검출","불검출","적합"
