"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","61,015.9","-","-","-"
"1","활돔(참돔)","에히메현","2016-10-06","4,388","불검출","불검출","적합"
"2","활돔(벵에돔)","에히메현","2016-10-06","340","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-10-06","14,915","불검출","불검출","적합"
"4","활돔(벵에돔)","에히메현","2016-10-06","1,313","불검출","불검출","적합"
"5","냉동새치
(황새치,목살,횟감)","태평양","2016-10-06","23.5","불검출","불검출","적합"
"6","냉동새치
(황새치,F,횟감)","태평양","2016-10-06","75.4","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-10-06","7,306","불검출","불검출","적합"
"8","냉장갈치","오이타현","2016-10-06","400","불검출","불검출","적합"
"9","냉동다랑어
(눈다랑어,목살)","태평양","2016-10-06","1,900","불검출","불검출","적합"
"10","냉동다랑어
(눈다랑어,F,횟감)","태평양","2016-10-06","264","불검출","불검출","적합"
"11","냉동새치(돛새치)","태평양","2016-10-06","3,416","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-10-06","5,312","불검출","불검출","적합"
"13","활장어(먹장어)","야마구치현","2016-10-06","2,545","불검출","불검출","적합"
"14","냉동다랑어
(남방참다랑어)","인도양","2016-10-06","18,818","불검출","불검출","적합"
