"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건32","-","-","94,117","-","-","-"
"1","마른해삼 자숙(
)","시마네현","2016-01-26","180","불검출","불검출","적합"
"2","활방어","나가사키현","2016-01-26","5,801","불검출","불검출","적합"
"3","활방어","나가사키현","2016-01-26","11,651","불검출","불검출","적합"
"4","활문어","홋카이도","2016-01-26","2,000","불검출","불검출","적합"
"5","활게 대게(
)","홋카이도","2016-01-26","7,000","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-01-26","7,000","불검출","불검출","적합"
"7","냉장돔 참돔(
)","야마구치현","2016-01-26","936","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-01-26","8,410","불검출","불검출","적합"
"9","냉동갈치","에히메현","2016-01-26","4,065","불검출","불검출","적합"
"10","냉장갈치","오이타현","2016-01-26","570","불검출","불검출","적합"
"11","냉장갈치","야마구치현","2016-01-26","375","불검출","불검출","적합"
"12","냉장가오리","야마구치현","2016-01-26","460","불검출","불검출","적합"
"13","냉장돔 황돔(
)","야마구치현","2016-01-26","105","불검출","불검출","적합"
"14","냉동돔 참돔(
)","나가사키현","2016-01-26","4,320","불검출","불검출","적합"
"15","냉장홍어","야마구치현","2016-01-26","260","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2016-01-26","128","불검출","불검출","적합"
