"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"144","과자","나가노현","2018-11-12","118","불검출","불검출","적합"
"145","로진","오사카부","2018-10-29","100","불검출","불검출","적합"
"146","혼합제제","오사카부","2018-11-19","105","불검출","불검출","적합"
"147","청주","교토부","2018-11-07","7,085","불검출","불검출","적합"
"148","청주","효고현","2018-10-16","72","불검출","불검출","적합"
"149","맥주","오키나와현","2018-11-16","84,068","불검출","불검출","적합"
"150","리큐르","시즈오카현","2018-09-06","168","불검출","불검출","적합"
"151","리큐르","미에현","2018-09-20","252","불검출","불검출","적합"
"152","청주","니가타현","2018-11-05","900","불검출","불검출","적합"
"153","과자","도쿠시마현","2018-10-09","2,100","불검출","불검출","적합"
"154","과자","도쿠시마현","2018-10-11","360","불검출","불검출","적합"
"155","캔디류","아이치현","2018-11-12","518","불검출","불검출","적합"
"156","청주","에히메현","2018-11-16","86","불검출","불검출","적합"
"157","청주","도야마현","2018-10-23","86","불검출","불검출","적합"
"158","캔디류","도쿄도","2018-10-26","165","불검출","불검출","적합"
"159","캔디류","도쿄도","2018-10-29","161","불검출","불검출","적합"
"160","과자","니가타현","2018-10-31","336","불검출","불검출","적합"
"161","향신료조제품","사이타마현","2018-11-01","135","불검출","불검출","적합"
"162","액상차","시가현","2018-10-11","1,800","불검출","불검출","적합"
"163","DL-알라닌","이바라키현","2018-09-18","5,000","불검출","불검출","적합"
"164","글리신","가나가와현","2018-10-03","14,400","불검출","불검출","적합"
"165","초콜릿가공품","오사카부","2018-10-02","118","불검출","불검출","적합"
"166","준초콜릿","사이타마현","2018-10-23","331","불검출","불검출","적합"
"167","밀크초콜릿","시즈오카현","2018-10-12","230","불검출","불검출","적합"
"168","탄산음료","오사카부","2018-11-12","1,500","불검출","불검출","적합"
"169","탄산음료","오사카부","2018-10-10","1,500","불검출","불검출","적합"
"170","탄산음료","오사카부","2018-10-03","1,200","불검출","불검출","적합"
