"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"45","과자","나가노현","2018-11-12","373","불검출","불검출","적합"
"46","빵류","나가노현","2018-11-12","132","불검출","불검출","적합"
"47","빵류","나가노현","2018-11-12","90","불검출","불검출","적합"
"48","혼합제제","히로시마현","2018-10-22","100","불검출","불검출","적합"
"49","혼합제제","히로시마현","2018-10-31","100","불검출","불검출","적합"
"50","청주","아오모리현","2018-10-05","7,020","불검출","불검출","적합"
"51","과자","아이치현","2018-10-15","40","불검출","불검출","적합"
"52","청주","아오모리현","2018-08-27","756","불검출","불검출","적합"
"53","비타민/무기질","오사카부","2018-11-09","18","불검출","불검출","적합"
"54","과자","아이치현","2018-10-15","801","불검출","불검출","적합"
"55","캔디류","시즈오카현","2018-10-15","863","불검출","불검출","적합"
"56","혼합제제","시즈오카현","2018-11-13","320","불검출","불검출","적합"
"57","위스키","오사카부","2018-11-07","12,600","불검출","불검출","적합"
"58","맥주","오이타현","2018-10-31","196,285","불검출","불검출","적합"
"59","맥주","오이타현","2018-10-31","47,736","불검출","불검출","적합"
"60","고형차","교토부","2018-11-07","1,740","불검출","불검출","적합"
"61","소스","시즈오카현","2018-10-04","1,810","불검출","불검출","적합"
"62","소스","시즈오카현","2018-10-04","2,398","불검출","불검출","적합"
"63","당류가공품","사이타마현","2018-09-10","36","불검출","불검출","적합"
"64","소스","시즈오카현","2018-10-18","1,771","불검출","불검출","적합"
"65","조미건어포","오사카부","2018-11-14","552","불검출","불검출","적합"
"66","기타 수산물가공품","히로시마현","2018-11-08","24","불검출","불검출","적합"
"67","과자","아이치현","2018-10-23","141","불검출","불검출","적합"
"68","가공두부","나가노현","2018-10-22","13,790","불검출","불검출","적합"
"69","혼합제제","이바라키현","2018-10-25","140","불검출","불검출","적합"
"70","카페인","지바현","2018-07-06","100","불검출","불검출","적합"
"71","혼합음료","후쿠오카현","2018-10-30","1,600","불검출","불검출","적합"
"72","과자","아이치현","2018-11-05","360","불검출","불검출","적합"
"73","커피/건조","엘살바도르","2018-08-15","18,975","불검출","불검출","적합"
"74","L-아르지닌","사가현","2018-05-29","2,000","불검출","불검출","적합"
"75","과자","아이치현","2018-10-15","90","불검출","불검출","적합"
"76","과·채가공품","훗카이도","2018-10-10","31","불검출","불검출","적합"
"77","조미건어포","오사카부","2018-11-13","161","불검출","불검출","적합"
