"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건10","-","-","1,038,242","-","-","-"
"1","냉동상어
(
진환도상어
,F)","대만","2016-01-06","396","불검출","불검출","적합"
"2","냉동가자미
(
각시가자미
)","러시아","2016-01-06","22,000","불검출","불검출","적합"
"3","냉동대구","러시아","2016-01-06","4,924","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-01-06","80,042","불검출","불검출","적합"
"5","냉동명태","러시아","2016-01-06","900,033","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2016-01-06","21,700","불검출","불검출","적합"
"7","냉동상어 귀상어
(
)","중국","2016-01-06","2,005","불검출","불검출","적합"
"8","냉동다랑어
(
눈다랑어 목살
,
)","대만","2016-01-06","1,500","불검출","불검출","적합"
"9","냉동대구(F)","러시아","2016-01-06","1,000","불검출","불검출","적합"
"10","냉동상어
(
청상아리
)","대만","2016-01-06","4,642","불검출","불검출","적합"
