"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"20","냉장돔 참돔(
)","야마구치현","2015-09-16","405","불검출","불검출","적합"
"21","냉장돔 황돔(
)","나가사키현","2015-09-16","68","불검출","불검출","적합"
"22","냉장갈치","와카야마현","2015-09-16","1,680","불검출","불검출","적합"
"23","냉장돔 참돔(
)","후쿠오카현","2015-09-16","815","불검출","불검출","적합"
"24","냉장돔 황돔(
)","야마구치현","2015-09-16","1,050","불검출","불검출","적합"
"25","냉장홍어","야마구치현","2015-09-16","390","불검출","불검출","적합"
"26","활돔 강담돔
(
)","오이타현","2015-09-16","266","불검출","불검출","적합"
"27","활꼬막","사가현","2015-09-16","440","불검출","불검출","적합"
"28","활꼬막 새꼬막
(
)","사가현","2015-09-16","3,040","불검출","불검출","적합"
"29","활꼬막","후쿠오카현","2015-09-16","3,140","불검출","불검출","적합"
"30","활꼬막 새꼬막
(
)","후쿠오카현","2015-09-16","1,280","불검출","불검출","적합"
"31","냉장갈치","와카야마현","2015-09-16","440","불검출","불검출","적합"
"32","냉동붉평치","대서양","2015-09-16","1,692","불검출","불검출","적합"
"33","활돔 벵에돔
(
)","사가현","2015-09-16","1,529","불검출","불검출","적합"
"34","활돔 돌돔(
)","미에현","2015-09-16","44","불검출","불검출","적합"
"35","냉동새치 청새치
(
)","대서양","2015-09-16","252","불검출","불검출","적합"
"36","냉장갈치","히로시마현","2015-09-16","20","불검출","불검출","적합"
"37","냉장갈치","에히메현","2015-09-16","384","불검출","불검출","적합"
"38","냉장돔 참돔(
)","나가사키현","2015-09-16","376","불검출","불검출","적합"
"39","냉장돔 황돔(
)","나가사키현","2015-09-16","209","불검출","불검출","적합"
"40","냉동상어
(
청상아리
)","대서양","2015-09-16","6,135","불검출","불검출","적합"
"41","활가리비","홋카이도","2015-09-16","13,960","불검출","불검출","적합"
"42","활장어 먹장어
(
)","나가사키현","2015-09-16","1,445","불검출","불검출","적합"
"43","활문어","효고현","2015-09-16","371","불검출","불검출","적합"
"44","냉장갈치","에히메현","2015-09-16","468","불검출","불검출","적합"
"45","냉장갈치","와카야마현","2015-09-16","352","불검출","불검출","적합"
"46","활가리비","홋카이도","2015-09-16","6,981","불검출","불검출","적합"
"47","활장어 먹장어
(
)","나가사키현","2015-09-16","1,496","불검출","불검출","적합"
"48","활게 참게(
)","오이타현","2015-09-16","610","불검출","불검출","적합"
