"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장홍어","홋카이도","2017-03-03","108","불검출","불검출","적합"
"18","냉장홍어","야마구치현","2017-03-03","440","불검출","불검출","적합"
"19","냉장명태","홋카이도","2017-03-03","3,114","불검출","불검출","적합"
"20","냉장명태","홋카이도","2017-03-03","416","불검출","불검출","적합"
"21","냉장명태","홋카이도","2017-03-03","2,740","불검출","불검출","적합"
"22","냉장명태","홋카이도","2017-03-03","2,000","불검출","불검출","적합"
"23","냉장명태","홋카이도","2017-03-03","403","불검출","불검출","적합"
"24","냉장명태","홋카이도","2017-03-03","2,740","불검출","불검출","적합"
"25","냉장대구","홋카이도","2017-03-03","510","불검출","불검출","적합"
"26","냉장대구","홋카이도","2017-03-03","520","불검출","불검출","적합"
"27","냉장갈치","와카야마현","2017-03-03","1,880","불검출","불검출","적합"
"28","냉장갈치","효고현","2017-03-03","232","불검출","불검출","적합"
"29","냉장갈치","오이타현","2017-03-03","1,045","불검출","불검출","적합"
"30","냉장갈치","와카야마현","2017-03-03","328","불검출","불검출","적합"
"31","냉장명태","홋카이도","2017-03-03","2,004","불검출","불검출","적합"
"32","활꼬막(새꼬막)","후쿠오카현","2017-03-03","2,500","불검출","불검출","적합"
"33","활꼬막(새꼬막)","후쿠오카현","2017-03-03","1,600","불검출","불검출","적합"
"34","냉장갈치","와카야마현","2017-03-03","1,736","불검출","불검출","적합"
"35","냉장갈치","야마구치현","2017-03-03","90","불검출","불검출","적합"
"36","냉장가오리","야마구치현","2017-03-03","480","불검출","불검출","적합"
