"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","14건","-","-","1,675,043","-","-","-"
"1","냉동가자미(각시가자미) 미국","","2014-12-17","23,664","불검출","불검출","적합"
"2","냉동가자미(까지가자미) 러시아","","2014-12-17","20,544","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-12-17","64,805","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-12-17","51,963","불검출","불검출","적합"
"5","냉동꽁치","대만","2014-12-17","40,129","불검출","불검출","적합"
"6","냉동꽁치","대만","2014-12-17","131,993","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-12-17","154,774","불검출","불검출","적합"
"8","냉동꽁치","대만","2014-12-17","690,555","불검출","불검출","적합"
"9","냉동꽁치","대만","2014-12-17","241,747","불검출","불검출","적합"
"10","냉동상어(곱상어)","미국","2014-12-17","4,000","불검출","불검출","적합"
"11","냉동가자미(각시가자미) 러시아","","2014-12-17","24,000","불검출","불검출","적합"
"12","냉동가자미(각시가자미) 미국","","2014-12-17","21,600","불검출","불검출","적합"
"13","냉동꽁치","바누아투","2014-12-17","183,369","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2014-12-17","21,900","불검출","불검출","적합"
