"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"89","과자(스낵과자)","야마가타현","2014-11-17","195","불검출","불검출","적합"
"90","소스류","에히메현","2014-11-26","1,000","불검출","불검출","적합"
"91","과자(비스킷)","기후현","2014-11-20","180","불검출","불검출","적합"
"92","볶은커피","시즈오카현","2014-11-21","33.6","불검출","불검출","적합"
"93","초콜릿가공품","아이치현","2014-11-07","180","불검출","불검출","적합"
"94","액상커피","군마현","2014-08-25","555","불검출","불검출","적합"
"95","합성착향료","효고현","2014-11-19","17","불검출","불검출","적합"
"96","팜핵유","오사카부","2014-10-22","4,496","불검출","불검출","적합"
"97","가공유지","오사카부","2014-10-15","7,504","불검출","불검출","적합"
"98","캔디류(사탕)","아이치현","2014-11-14","360","불검출","불검출","적합"
"99","소스류","후쿠오카현","2014-11-22","252","불검출","불검출","적합"
"100","과.채가공품","나가노현","2014-01-31","658","불검출","불검출","적합"
"101","카레","시즈오카현","2014-10-29","598","불검출","불검출","적합"
"102","밀가루","후쿠오카현","2014-09-21","3,200","불검출","불검출","적합"
"103","당류가공품","오사카부","2014-12-04","2,208","불검출","불검출","적합"
"104","복합조미식품","도야마현","2014-12-01","2,000","불검출","불검출","적합"
"105","활성탄","기후현","2014-11-25","100","불검출","불검출","적합"
"106","활성탄","기후현","2014-11-19","600","불검출","불검출","적합"
"107","활성탄","기후현","2014-11-20","700","불검출","불검출","적합"
"108","혼합제제","히로시마현","2014-12-02","1,000","불검출","불검출","적합"
"109","가공두부","후쿠오카현","2014-10-23","12,060","불검출","불검출","적합"
"110","혼합제제","가나가와현","2014-11-26","200","불검출","불검출","적합"
"111","혼합제제","나가노현","2014-08-26","800","불검출","불검출","적합"
"112","혼합제제","나가노현","2014-11-07","250","불검출","불검출","적합"
"113","과자(웨이퍼)","오사카부","2014-11-20","620","불검출","불검출","적합"
"114","캔디류(사탕)","가나가와현","2014-11-01","278.4","불검출","불검출","적합"
"115","캔디류(사탕)","아이치현","2014-11-26","300","불검출","불검출","적합"
"116","캔디류(사탕)","아이치현","2014-11-18","336","불검출","불검출","적합"
"117","향신료조제품(고
추냉이가공품)","사이타마현","2014-10-25","210","불검출","불검출","적합"
"118","향신료조제품(고
추냉이가공품)","사이타마현","2014-11-04","930","불검출","불검출","적합"
"119","카레분","사이타마현","2014-08-18","240","불검출","불검출","적합"
"120","볶은커피","아이치현","2014-11-13","33.6","불검출","불검출","적합"
"121","과자(스낵과자)","기후현","2014-11-19","260","불검출","불검출","적합"
"123","기타가공품","기후현","2014-11-19","260","불검출","불검출","적합"
"124","과자(스낵과자)","이바라키현","2014-11-15","27,000","불검출","불검출","적합"
"125","혼합제제","미에현","2014-11-08","3,355.2","불검출","불검출","적합"
"126","혼합제제","오카야마현","2014-11-19","30","불검출","불검출","적합"
