"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","62건","","63,338.91","","",""
"1","소스류","도쿄도","2014-08-11","40.8","불검출","불검출","적합"
"2","청주","이바라키현","2014-11-06","803.52","불검출","불검출","적합"
"3","청주","군마현","2014-11-01","45.36","불검출","불검출","적합"
"4","청주","군마현","2014-11-17","32.7","불검출","불검출","적합"
"5","볶은커피","사이타마현","2014-11-10","4,608","불검출","불검출","적합"
"6","액상커피","시가현","2014-10-30","1,320","불검출","불검출","적합"
"7","기타식초","도치기현","2014-10-28","2,580","불검출","불검출","적합"
"8","소스류","군마현","2014-10-17","270","불검출","불검출","적합"
"9","소스류","군마현","2014-10-08","625","불검출","불검출","적합"
"10","기타식초","도치기현","2014-10-16","230","불검출","불검출","적합"
"11","유탕면류","아이치현","2014-10-29","184.23","불검출","불검출","적합"
"12","유탕면류","아이치현","2014-10-29","592.74","불검출","불검출","적합"
"13","청주","효고현","2014-10-02","2,700","불검출","불검출","적합"
"14","청주","효고현","2014-10-02","1,620","불검출","불검출","적합"
"15","청주","효고현","2014-10-06","432","불검출","불검출","적합"
"16","청주","효고현","2014-10-27","216","불검출","불검출","적합"
"17","청주","효고현","2014-10-24","60","불검출","불검출","적합"
