"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","98건","","171,894.9","","",""
"1","청주","효고현","2014-11-20","1,200","불검출","불검출","적합"
"2","청주","효고현","2014-10-28","72","불검출","불검출","적합"
"3","청주","효고현","2014-10-28","1,710","불검출","불검출","적합"
"4","청주","효고현","2014-10-20","4,800","불검출","불검출","적합"
"5","캔디류(사탕)","아이치현","2014-11-17","540","불검출","불검출","적합"
"6","과자(스낵과자)","나가노현","2014-11-20","192","불검출","불검출","적합"
"7","청주","효고현","2014-10-10","108","불검출","불검출","적합"
"8","빵류(케이크)","나가노현","2014-11-20","186","불검출","불검출","적합"
"9","청주","효고현","2014-10-24","30","불검출","불검출","적합"
"10","청주","효고현","2014-10-21","180","불검출","불검출","적합"
"11","청주","시즈오카현","2014-11-05","432","불검출","불검출","적합"
"12","청주","야마가타현","2014-11-04","108","불검출","불검출","적합"
"13","소주","후쿠오카현","2014-10-25","237.6","불검출","불검출","적합"
"14","소스류","후쿠오카현","2014-11-25","500","불검출","불검출","적합"
"15","합성착향료","가나가와현","2014-11-12","180","불검출","불검출","적합"
"16","양조간장","오사카부","2014-11-15","1,500","불검출","불검출","적합"
"17","곡류가공품","도쿄도","2014-11-15","238","불검출","불검출","적합"
