"순 번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"48","어묵","시마네현","2014-11-18","1,280","불검출","불검출","적합"
"49","어묵","시마네현","2014-11-16","873.6","불검출","불검출","적합"
"50","어묵","시마네현","2014-11-04","776","불검출","불검출","적합"
"51","어묵","시마네현","2014-11-17","352.8","불검출","불검출","적합"
"52","어묵","시마네현","2014-11-05","600","불검출","불검출","적합"
"53","캔디류(사탕)","가나가와현","2014-10-02","612.48","불검출","불검출","적합"
"54","캔디류(사탕)","아이치현","2014-11-14","291.6","불검출","불검출","적합"
"55","과자(스낵과자)","사이타마현","2014-06-30","1,260","불검출","불검출","적합"
"56","어묵","시마네현","2014-11-06","200","불검출","불검출","적합"
"57","어묵","시마네현","2014-11-17","360","불검출","불검출","적합"
"58","어묵","시마네현","2014-11-18","2,862","불검출","불검출","적합"
"59","빵류(케이크)","나가노현","2014-11-20","89.6","불검출","불검출","적합"
"60","빵류(케이크)","나가노현","2014-11-20","108","불검출","불검출","적합"
"61","빵류(케이크)","나가노현","2014-11-20","153","불검출","불검출","적합"
"62","캔디류(양갱)","지바현","2014-10-20","69.3","","",""
"","","","","","불검출","불검출","적합"
"63","볶은커피","미에현","2014-10-08","103.68","불검출","불검출","적합"
"64","청주","도치기현","2014-11-07","7,862.4","불검출","불검출","적합"
"65","볶은커피","미에현","2014-09-15","69.12","불검출","불검출","적합"
"66","청주","도치기현","2014-11-07","1,123.2","불검출","불검출","적합"
"67","청주","도치기현","2014-11-06","1,555.2","불검출","불검출","적합"
"68","청주","도치기현","2014-11-19","518.4","불검출","불검출","적합"
"69","청주","도치기현","2014-11-18","518.4","불검출","불검출","적합"
"70","청주","니가타현","2014-11-12","432","불검출","불검출","적합"
"71","청주","니가타현","2014-11-04","43.2","불검출","불검출","적합"
"72","소주","미야자키현","2014-07-16","48.6","불검출","불검출","적합"
"73","청주","도치기현","2014-11-17","1,843.2","불검출","불검출","적합"
"74","청주","도치기현","2014-11-19","4,860","불검출","불검출","적합"
"75","마요네즈","효고현","2014-10-23","2,400","불검출","불검출","적합"
"76","드레싱","사가현","2014-11-04","3,240","불검출","불검출","적합"
"77","청주","니가타현","2014-11-03","172.8","불검출","불검출","적합"
"78","청주","도야마현","2014-11-01","43.2","불검출","불검출","적합"
"79","청주","시즈오카현","2014-10-09","43.2","불검출","불검출","적합"
"80","소주","가고시마현","2014-10-17","54","불검출","불검출","적합"
"81","과자(비스킷)","니가타현","2014-11-20","247.2","불검출","불검출","적합"
"82","청주","니가타현","2014-10-31","129.6","불검출","불검출","적합"
"83","청주","돗토리현","2014-11-12","45.36","불검출","불검출","적합"
"84","청주","아이치현","2014-10-15","34.56","불검출","불검출","적합"
"85","과자(비스킷)","니가타현","2014-11-10","271.2","불검출","불검출","적합"
"86","과자(쿠키)","니가타현","2014-11-19","254.4","불검출","불검출","적합"
"87","과자(쿠키)","니가타현","2014-11-21","122.4","불검출","불검출","적합"
"88","캔디류(사탕)","니가타현","2014-10-31","448","불검출","불검출","적합"
