"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 126건","","","","403,505","","",""
"1","기타식용유지","훗카이도","2019-02-27","112","불검출","불검출","적합"
"2","볶은커피","효고현","2019-04-10","6,132","불검출","불검출","적합"
"3","볶은커피","효고현","2019-04-11","9,744","불검출","불검출","적합"
"4","볶은커피","효고현","2019-02-18","154","불검출","불검출","적합"
"5","캔디류","아이치현","2019-04-08","385","불검출","불검출","적합"
"6","액상차","미에현","2018-11-23","1,800","불검출","불검출","적합"
"7","향신료조제품","시즈오카현","2018-12-03","202","불검출","불검출","적합"
"8","청주","야마구치현","2019-02-08","518","불검출","불검출","적합"
"9","청주","야마구치현","2019-03-04","173","불검출","불검출","적합"
"10","청주","니가타현","2019-03-18","4,272","불검출","불검출","적합"
"11","청주","야마구치현","2019-03-02","432","불검출","불검출","적합"
"12","청주","니가타현","2019-03-21","432","불검출","불검출","적합"
"13","청주","니가타현","2019-03-19","864","불검출","불검출","적합"
"14","빵류","돗토리현","2019-04-02","372","불검출","불검출","적합"
"15","당류가공품","교토부","2019-03-14","333","불검출","불검출","적합"
