"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","34건","","","131,309","-","-","-"
"1","활돔(벵에돔)","나가사키현","2015-07-03","2,950","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-07-03","6,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-07-03","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-07-03","7,000","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-07-03","6,500","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-07-03","7,132","불검출","불검출","적합"
"7","냉동상어(청상아리,F)","인도양","2015-07-03","3,272","불검출","불검출","적합"
"8","냉동상어(청상아리,F)","대서양","2015-07-03","3,160","불검출","불검출","적합"
"9","냉동새치(돛새치)","대서양","2015-07-03","4,287","불검출","불검출","적합"
"10","냉동새치(돛새치)","인도양","2015-07-03","1,564","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2015-07-03","1,152","불검출","불검출","적합"
"12","활꼬막(새꼬막)","사가현","2015-07-03","3,000","불검출","불검출","적합"
"13","냉장갈치","오이타현","2015-07-03","80","불검출","불검출","적합"
"14","냉장돔(참돔)","후쿠오카현","2015-07-03","200","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-07-03","1,596","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2015-07-03","872","불검출","불검출","적합"
"17","냉장갈치","에히메현","2015-07-03","128","불검출","불검출","적합"
"18","냉장갈치","와카야마현","2015-07-03","832","불검출","불검출","적합"
"19","냉장홍어","홋카이도","2015-07-03","700","불검출","불검출","적합"
"20","냉장명태","홋카이도","2015-07-03","4,176","불검출","불검출","적합"
"21","냉장명태","홋카이도","2015-07-03","3,624","불검출","불검출","적합"
"22","냉장홍어","홋카이도","2015-07-03","4,104","불검출","불검출","적합"
"23","냉장명태","홋카이도","2015-07-03","3,624","불검출","불검출","적합"
"24","냉장갈치","오이타현","2015-07-03","195","불검출","불검출","적합"
"25","냉장홍어","홋카이도","2015-07-03","5,031","불검출","불검출","적합"
"26","냉장갈치","와카야마현","2015-07-03","2,200","불검출","불검출","적합"
"27","냉장갈치","히로시마현","2015-07-03","75","불검출","불검출","적합"
"28","냉장갈치","와카야마현","2015-07-03","568","불검출","불검출","적합"
"29","냉장명태","홋카이도","2015-07-03","4,140","불검출","불검출","적합"
"30","활가리비","홋카이도","2015-07-03","6,981","불검출","불검출","적합"
"31","냉동눈다랑어(F,횟감)","태평양","2015-07-03","2,800","불검출","불검출","적합"
"32","냉동가리비(외투막)","홋카이도","2015-07-03","22,275","불검출","불검출","적합"
"33","냉장다랑어(참다랑어)","나가사키현","2015-07-03","139","불검출","불검출","적합"
"34","활가리비","홋카이도","2015-07-03","13,952","불검출","불검출","적합"
