"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","9건","","","126,714","-","-","-"
"1","냉동가다랑어","마샬","2015-07-03","24,586","불검출","불검출","적합"
"2","냉동귀상어","대만","2015-07-03","8,530","불검출","불검출","적합"
"3","냉동각시가자미","미국","2015-07-03","9,318","불검출","불검출","적합"
"4","마른명태","러시아","2015-07-03","12,000","불검출","불검출","적합"
"5","냉동각시가자미","러시아","2015-07-03","21,700","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2015-07-03","21,620","불검출","불검출","적합"
"7","냉동대구(목살)","러시아","2015-07-03","1,460","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2015-07-03","6,000","불검출","불검출","적합"
"9","냉동각시가자미","러시아","2015-07-03","21,500","불검출","불검출","적합"
