"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","1,336,518","","",""
"1","맥주","후쿠오카현","2018-05-25","331,512","불검출","불검출","적합"
"2","맥주","후쿠오카현","2018-05-01","69,127","불검출","불검출","적합"
"3","맥주","후쿠오카현","2018-05-29","34,896","불검출","불검출","적합"
"4","맥주","아이치현","2018-06-04","14,126","불검출","불검출","적합"
"5","맥주","후쿠오카현","2018-05-30","523,440","불검출","불검출","적합"
"6","청주","효고현","2018-05-08","3,000","불검출","불검출","적합"
"7","청주","효고현","2018-05-17","5,508","불검출","불검출","적합"
"8","청주","효고현","2018-05-17","2,700","불검출","불검출","적합"
"9","청주","교토부","2018-05-23","806","불검출","불검출","적합"
"10","청주","교토부","2018-05-23","806","불검출","불검출","적합"
"11","청주","교토부","2018-05-18","1,037","불검출","불검출","적합"
"12","청주","교토부","2018-05-11","86","불검출","불검출","적합"
"13","청주","교토부","2018-05-18","1,685","불검출","불검출","적합"
"14","커피/건조","콜롬비아","2017-12-28","35,000","불검출","불검출","적합"
"15","청국장","훗카이도","2018-06-04","2,970","불검출","불검출","적합"
