"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 113건","","","","771,598","","",""
"1","클로렐라 제품","기후현","2018-05-21","19","불검출","불검출","적합"
"2","소스","도치기현","2018-04-27","12,355","불검출","불검출","적합"
"3","혼합장","히로시마현","2018-03-28","142","불검출","불검출","적합"
"4","절임식품","야마가타현","2018-05-22","1,650","불검출","불검출","적합"
"5","건어포","오사카부","2018-05-28","900","불검출","불검출","적합"
"6","소스","니가타현","2018-05-28","7,906","불검출","불검출","적합"
"7","소스","니가타현","2018-04-24","3,060","불검출","불검출","적합"
"8","소스","히로시마현","2018-05-09","618","불검출","불검출","적합"
"9","소스","히로시마현","2018-05-10","2,640","불검출","불검출","적합"
"10","소스","나가사키현","2018-04-23","700","불검출","불검출","적합"
"11","복합조미식품","나가사키현","2018-04-07","500","불검출","불검출","적합"
"12","소스","히로시마현","2018-03-29","656","불검출","불검출","적합"
"13","소스","히로시마현","2018-05-17","2,628","불검출","불검출","적합"
"14","소스","히로시마현","2018-04-06","1,835","불검출","불검출","적합"
"15","소스","히로시마현","2018-05-14","108","불검출","불검출","적합"
