"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","114","","285,686","","",""
"1","소스류","히로시마현","2015-01-17","1,000","불검출","불검출","적합"
"2","기타가공품","와카야마현","2015-01-15","1,000","불검출","불검출","적합"
"3","합성착향료","가나가와현","2015-01-16","3.2","불검출","불검출","적합"
"4","맥주","사이타마현","2014-12-15","287.7","불검출","불검출","적합"
"5","맥주","사이타마현","2014-12-24","2,301.7","불검출","불검출","적합"
"6","맥주","사이타마현","2014-12-19","1,695.4","불검출","불검출","적합"
"7","맥주","사이타마현","2014-12-23","287.7","불검출","불검출","적합"
"8","맥주","사이타마현","2014-11-06","1,135.4","불검출","불검출","적합"
"9","청국장","도쿄도","2014-12-08","1,365.2","불검출","불검출","적합"
"10","향신료조제품(고추
냉이가공품)","사이타마현","2014-12-11","129","불검출","불검출","적합"
"11","캔디류(캐러멜)","도치기현","2014-12-26","894","불검출","불검출","적합"
"12","청주","효고현","2015-01-14","518.4","불검출","불검출","적합"
