"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","89","","321,906","","",""
"1","혼합장","아이치현","2015-01-15","400","불검출","불검출","적합"
"2","즉석조리식품","훗카이도","2015-01-05","47.52","불검출","불검출","적합"
"3","즉석조리식품","훗카이도","2015-02-04","71.28","불검출","불검출","적합"
"4","건어포류","오사카부","2015-01-13","300","불검출","불검출","적합"
"5","즉석조리식품","훗카이도","2015-01-05","47.52","불검출","불검출","적합"
"6","무기질","도쿄도","2014-11-16","39.4","불검출","불검출","적합"
"7","된장","나가노현","2014-12-04","800","불검출","불검출","적합"
"8","소스류","에히메현","2015-01-22","6,980","불검출","불검출","적합"
"9","당류가공품","교토부","2014-05-01","36","불검출","불검출","적합"
"10","어묵","시마네현","2015-01-09","1,680","불검출","불검출","적합"
"11","어묵","시마네현","2014-12-26","2,226.4","불검출","불검출","적합"
"12","어묵","시마네현","2015-01-08","2,100","불검출","불검출","적합"
