"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","567,505","-","-","-"
"1","냉동대구 목살(
)","러시아","2015-09-03","1,160","불검출","불검출","적합"
"2","냉동다랑어
(
눈다랑어 목살 횟감
,
,
)","중국","2015-09-03","2,234","불검출","불검출","적합"
"3","냉동대구","러시아","2015-09-03","3,186","불검출","불검출","적합"
"4","냉동다랑어
(
눈다랑어 횟감
,F,
)","대만","2015-09-03","1,005","불검출","불검출","적합"
"5","냉동대구 목살(
)","러시아","2015-09-03","7,106","불검출","불검출","적합"
"6","냉동명태","러시아","2015-09-03","400,029","불검출","불검출","적합"
"7","냉동대구","러시아","2015-09-03","8,751","불검출","불검출","적합"
"8","냉동가자미
(
각시가자미
)","러시아","2015-09-03","70,350","불검출","불검출","적합"
"9","냉동대구","러시아","2015-09-03","1,584","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2015-09-03","24,000","불검출","불검출","적합"
"11","냉동대구","러시아","2015-09-03","1,350","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-09-03","23,250","불검출","불검출","적합"
"13","냉동가자미
(
각시가자미
)","러시아","2015-09-03","23,500","불검출","불검출","적합"
