"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 140건","","","","376,112","","",""
"1","청주","시가현","2018-01-17","130","불검출","불검출","적합"
"2","건면","나가사키현","2018-01-26","300","불검출","불검출","적합"
"3","소스","후쿠오카현","2018-01-29","180","불검출","불검출","적합"
"4","혼합제제","효고현","2018-01-23","17","불검출","불검출","적합"
"5","혼합제제","효고현","2018-01-19","30","불검출","불검출","적합"
"6","혼합제제","효고현","2018-01-19","34","불검출","불검출","적합"
"7","혼합제제","효고현","2018-01-19","136","불검출","불검출","적합"
"8","기타천연착향료","오카야마현","2018-01-19","540","불검출","불검출","적합"
"9","캔디류","나가노현","2017-12-27","5,741","불검출","불검출","적합"
"10","캔디류","아이치현","2018-01-24","150","불검출","불검출","적합"
"11","혼합제제","오카야마현","2017-12-15","60","불검출","불검출","적합"
"12","혼합제제","히로시마현","2018-01-12","15","불검출","불검출","적합"
"13","혼합제제","사이타마현","2018-01-29","36","불검출","불검출","적합"
