"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동명태","러시아","2018-02-20","353,245","불검출","불검출","적합"
"2","냉동어란(대구알)","러시아","2018-02-20","23,230","불검출","불검출","적합"
"3","냉동명태","러시아","2018-02-20","320,758","불검출","불검출","적합"
"4","냉동명태","러시아","2018-02-20","9,240","불검출","불검출","적합"
"5","냉동어란(대구알)","러시아","2018-02-20","296","불검출","불검출","적합"
"6","냉동가자미(첨치가자미,F)","미국","2018-02-20","23,000","불검출","불검출","적합"
"7","냉동가자미(각시가자미)","러시아","2018-02-20","22,500","불검출","불검출","적합"
"8","냉동다랑어(참다랑어,목살,횟감)","이탈리아","2018-02-20","9,492","불검출","불검출","적합"
"9","냉동고등어","중국","2018-02-20","72,180","불검출","불검출","적합"
"10","냉동가자미(각시가자미)","러시아","2018-02-20","21,300","불검출","불검출","적합"
"합계","","-","-","855,241","-","-","-"
