"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 90건","","","","834,636","","",""
"1","추출식품","시즈오카현","2017-10-19","500","불검출","불검출","적합"
"2","과자(스낵과자)","아이치현","2017-11-08","245","불검출","불검출","적합"
"3","과자(스낵과자)","효고현","2017-11-20","1,000","불검출","불검출","적합"
"4","빵류(케이크)","돗토리현","2017-11-06","576","불검출","불검출","적합"
"5","빵류(그외 빵류)","돗토리현","2017-11-07","576","불검출","불검출","적합"
"6","빵류(그외 빵류)","돗토리현","2017-11-11","832","불검출","불검출","적합"
"7","과자(스낵과자)","효고현","2017-11-20","3,240","불검출","불검출","적합"
"8","양조간장","지바현","2017-09-25","2,211","불검출","불검출","적합"
"9","곡류가공품","아이치현","2017-09-21","550","불검출","불검출","적합"
"10","청주","와카야마현","2017-11-28","475","불검출","불검출","적합"
"11","청주","와카야마현","2017-11-28","130","불검출","불검출","적합"
"12","청주","미에현","2017-11-01","508","불검출","불검출","적합"
"13","청주","미에현","2017-11-01","259","불검출","불검출","적합"
