"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2018-12-27","19,890","적합","적합","적합"
"2","냉동꽁치","대만","2018-12-27","122,943","적합","적합","적합"
"3","냉동꽁치","대만","2018-12-27","44,840","적합","적합","적합"
"4","냉동가자미(각시가자미)","러시아","2018-12-27","22,050","적합","적합","적합"
"5","냉장송어(F)","노르웨이","2018-12-27","610","적합","적합","적합"
"6","냉동꽁치","대만","2018-12-27","281,554","적합","적합","적합"
"7","냉동꽁치","대만","2018-12-27","259,428","적합","적합","적합"
"8","냉동꽁치","대만","2018-12-27","46,640","적합","적합","적합"
"9","냉동꽁치","대만","2018-12-27","65,891","적합","적합","적합"
"10","냉장다랑어(참다랑어)","멕시코","2018-12-27","694","적합","적합","적합"
"11","냉동가자미(각시가자미)","러시아","2018-12-27","22,500","적합","적합","적합"
