"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"45","활돔(참돔)","에히메현","2018-12-27","2,827","적합","적합","적합"
"46","활우렁쉥이","홋카이도","2018-12-27","13,773","적합","적합","적합"
"47","활우렁쉥이","홋카이도","2018-12-27","8,602","적합","적합","적합"
"48","냉장명태","홋카이도","2018-12-27","1,300","적합","적합","적합"
"49","냉장명태","홋카이도","2018-12-27","1,300","적합","적합","적합"
"50","활가리비","홋카이도","2018-12-27","8,414","적합","적합","적합"
"51","냉장명태","홋카이도","2018-12-27","4,062","적합","적합","적합"
"52","냉장명태","홋카이도","2018-12-27","7,540","적합","적합","적합"
"53","냉장명태","홋카이도","2018-12-27","3,900","적합","적합","적합"
"54","냉장홍어","야마구치현","2018-12-27","708","적합","적합","적합"
"55","활방어","에히메현","2018-12-27","6,893","적합","적합","적합"
"56","활우렁쉥이","홋카이도","2018-12-27","8,766","적합","적합","적합"
"57","활가리비","홋카이도","2018-12-27","5,031","적합","적합","적합"
"58","활가리비","홋카이도","2018-12-27","7,000","적합","적합","적합"
"59","활꼬막","후쿠오카현","2018-12-27","3,700","적합","적합","적합"
"60","활우렁쉥이","홋카이도","2018-12-27","16,472","적합","적합","적합"
"61","활게(참게)","후쿠오카현","2018-12-27","500","적합","적합","적합"
"62","활우렁쉥이","홋카이도","2018-12-27","8,800","적합","적합","적합"
"63","냉장명태","홋카이도","2018-12-27","1,300","적합","적합","적합"
"64","냉장가오리","야마구치현","2018-12-27","820","적합","적합","적합"
"65","활우렁쉥이","홋카이도","2018-12-27","9,245","적합","적합","적합"
"66","활우렁쉥이","홋카이도","2018-12-27","8,500","적합","적합","적합"
"67","냉장명태","홋카이도","2018-12-27","2,670","적합","적합","적합"
"68","냉장명태","홋카이도","2018-12-27","3,900","적합","적합","적합"
