"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","18,757","-","-","-"
"1","활가리비","홋카이도","2015-6-11","7,000","불검출","불검출","적합"
"2","냉장갈치","야마구치현","2015-6-11","310","불검출","불검출","적합"
"3","냉장고등어","야마구치현","2015-6-11","2,720","불검출","불검출","적합"
"4","냉장민어(수조기)","야마구치현","2015-6-11","87","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2015-6-11","3,617","불검출","불검출","적합"
"6","냉장명태","홋카이도","2015-6-11","2,442","불검출","불검출","적합"
"7","냉장갈치","오이타현","2015-6-11","216","불검출","불검출","적합"
"8","활대합(북방대합)","홋카이도","2015-6-11","773","불검출","불검출","적합"
"9","냉장준치","구마모토현","2015-6-11","364","불검출","불검출","적합"
"10","냉장갈치","에히메현","2015-6-11","392","불검출","불검출","적합"
"11","활장어(붕장어)","야마구치현","2015-6-11","836","불검출","불검출","적합"
