"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","13건","-","-","129,234","-","-","-"
"1","냉동곤이(명태)","러시아","2015-6-10","2,498","불검출","불검출","적합"
"2","냉동곤이(명태)","러시아","2015-6-10","31,028","불검출","불검출","적합"
"3","냉동곤이(명태)","러시아","2015-6-10","26,010","불검출","불검출","적합"
"4","냉동장어(뱀장어,F)","대만","2015-6-10","18,500","불검출","불검출","적합"
"5","냉동가재(민물가재)","말레이시아","2015-6-10","110","불검출","불검출","적합"
"6","냉동대구(머리)","러시아","2015-6-10","60","불검출","불검출","적합"
"7","냉동곤이(명태)","러시아","2015-6-10","2,970","불검출","불검출","적합"
"8","냉동곤이(명태)","러시아","2015-6-10","1,103","불검출","불검출","적합"
"9","냉동가자미(마소치가자미) 미국","","2015-6-10","816","불검출","불검출","적합"
"10","냉동명태","미국","2015-6-10","19","불검출","불검출","적합"
"11","냉동대구(목살)","러시아","2015-6-10","3,620","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-6-10","21,000","불검출","불검출","적합"
"13","냉동가자미(각시가자미) 러시아","","2015-6-10","21,500","불검출","불검출","적합"
