"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 121건","","","","199,381","","",""
"1","소스","히로시마현","2019-07-22","1,760","불검출","불검출","적합"
"2","소스","히로시마현","2019-07-16","1,260","불검출","불검출","적합"
"3","빵류","사이타마현","2019-07-16","11,232","불검출","불검출","적합"
"4","빵류","기후현","2019-07-19","2,496","불검출","불검출","적합"
"5","소스","나가사키현","2019-06-12","1,516","불검출","불검출","적합"
"6","혼합제제","효고현","2019-07-29","34","불검출","불검출","적합"
"7","혼합제제","도쿄도","2019-07-11","100","불검출","불검출","적합"
"8","혼합제제","시가현","2019-07-23","50","불검출","불검출","적합"
"9","당류가공품","효고현","2019-06-20","48","불검출","불검출","적합"
"10","당류가공품","효고현","2019-07-08","60","불검출","불검출","적합"
"11","당류가공품","나가노현","2019-05-17","20","불검출","불검출","적합"
"12","밀가루","후쿠오카현","2019-06-25","2,000","불검출","불검출","적합"
"13","밀가루","후쿠오카현","2019-07-19","1,000","불검출","불검출","적합"
"14","쇼트닝","가나가와현","2019-07-12","500","불검출","불검출","적합"
"15","당류가공품","지바현","2019-07-04","298","불검출","불검출","적합"
