"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 170건","","","","510,765","","",""
"1","빵류","훗카이도","2019-04-08","10,700","불검출","불검출","적합"
"2","기타가공품","시즈오카현","2018-12-24","6,075","불검출","불검출","적합"
"3","기타천연착향료","사이타마현","2019-04-08","36","불검출","불검출","적합"
"4","곡류가공품","히로시마현","2019-04-10","23,400","불검출","불검출","적합"
"5","소스","도치기현","2019-02-22","450","불검출","불검출","적합"
"6","천연향신료","도치기현","2019-02-27","252","불검출","불검출","적합"
"7","밀가루","효고현","2019-03-25","2,500","불검출","불검출","적합"
"8","효모식품","오이타현","2019-03-11","1,240","불검출","불검출","적합"
"9","효모식품","오이타현","2018-12-29","3,500","불검출","불검출","적합"
"10","초콜릿가공품","훗카이도","2019-04-05","50","불검출","불검출","적합"
"11","청주","돗토리현","2019-04-08","43","불검출","불검출","적합"
"12","청주","야마가타현","2019-01-07","48","불검출","불검출","적합"
"13","청주","돗토리현","2019-04-06","173","불검출","불검출","적합"
"14","청주","시가현","2019-04-12","130","불검출","불검출","적합"
"15","향미유","사이타마현","2019-04-02","70","불검출","불검출","적합"
