"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 176건","","","","252,367","","",""
"1","소스","도치기현","2018-05-14","15,369","불검출","불검출","적합"
"2","효모식품","오이타현","2018-01-10","2,100","불검출","불검출","적합"
"3","기타 수산물가공품","후쿠시마현","2018-02-22","300","불검출","불검출","적합"
"4","고추냉이/신선,냉장","나가사키현","2018-05-30","42","불검출","불검출","적합"
"5","청주","도쿄도","2017-07-05","188","불검출","불검출","적합"
"6","청주","효고현","2018-04-20","4,830","불검출","불검출","적합"
"7","청주","효고현","2018-04-09","10,368","불검출","불검출","적합"
"8","청주","도쿄도","2017-05-17","188","불검출","불검출","적합"
"9","청주","도쿄도","2018-05-10","188","불검출","불검출","적합"
"10","볶은커피","효고현","2018-03-28","227","불검출","불검출","적합"
"11","볶은커피","효고현","2018-04-10","492","불검출","불검출","적합"
"12","캔디류","사이타마현","2018-04-18","1,376","불검출","불검출","적합"
"13","캔디류","나가노현","2018-04-20","1,001","불검출","불검출","적합"
"14","볶은커피","효고현","2018-03-24","34","불검출","불검출","적합"
"15","과자","나가노현","2018-05-21","621","불검출","불검출","적합"
