"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","18건","-","-","1,289,563","-","-","-"
"1","냉동꽁치","대만","2015-1-15","22,460","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-1-15","44,000","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-1-15","46,386","불검출","불검출","적합"
"4","냉동새우(흰다리새우)","코스타리카","2015-1-15","15,920","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2015-1-15","23,500","불검출","불검출","적합"
"6","냉동다랑어(눈다랑어,목살) 중국","","2015-1-15","5,000","불검출","불검출","적합"
"7","냉동대구(목살)","러시아","2015-1-15","580","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2015-1-15","19,225","불검출","불검출","적합"
"9","냉동상어(청상아리)","대만","2015-1-15","19,720","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2015-1-15","12,960","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-1-15","111,600","불검출","불검출","적합"
"12","냉동꽁치","대만","2015-1-15","44,640","불검출","불검출","적합"
"13","냉동명태(F)","러시아","2015-1-15","23,640","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2015-1-15","21,400","불검출","불검출","적합"
"15","냉동꽁치","대만","2015-1-15","243,088","불검출","불검출","적합"
"16","냉동꽁치","대만","2015-1-15","190,933","불검출","불검출","적합"
"17","냉동꽁치","대만","2015-1-15","259,405","불검출","불검출","적합"
"18","냉동꽁치","대만","2015-1-15","185,106","불검출","불검출","적합"
