"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","10건","-","-","947,867","-","-","-"
"1","냉동고등어","중국","2015-1-20","48,002","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-1-20","521,770","불검출","불검출","적합"
"3","냉동대구(목살)","러시아","2015-1-20","10,081","불검출","불검출","적합"
"4","냉동대구(목살)","러시아","2015-1-20","11,020","불검출","불검출","적합"
"5","냉동가자미(각시가자미) 러시아","","2015-1-20","20,670","불검출","불검출","적합"
"6","냉동가자미(각시가자미) 러시아","","2015-1-20","20,670","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-1-20","245,654","불검출","불검출","적합"
"8","냉동가자미(각시가자미) 미국","","2015-1-20","22,000","불검출","불검출","적합"
"9","냉동고등어","중국","2015-1-20","24,000","불검출","불검출","적합"
"10","냉동고등어","중국","2015-1-20","24,000","불검출","불검출","적합"
