"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"43","청주","이시카와현","2014-09-02","86.4","불검출","불검출","적합"
"44","과자(비스킷)","니가타현","2014-11-01","235.2","불검출","불검출","적합"
"45","밀크초콜릿","시즈오카현","2014-10-23","4.5","불검출","불검출","적합"
"46","국수","훗카이도","2014-09-22","79.1","불검출","불검출","적합"
"47","과자(스낵과자)","고치현","2014-10-23","21","불검출","불검출","적합"
"48","과자(크래커)","이와테현","2014-10-07","29.8","불검출","불검출","적합"
"49","과자(스낵과자)","고치현","2014-10-25","15.4","불검출","불검출","적합"
"50","과자(스낵과자)","고치현","2014-10-20","18.6","불검출","불검출","적합"
"51","침출차","고치현","2014-07-31","5.04","불검출","불검출","적합"
"52","혼합장","야마나시현","2014-11-06","5,000","불검출","불검출","적합"
"53","혼합장","야마나시현","2014-11-04","3,000","불검출","불검출","적합"
"54","혼합제제","미에현","2014-11-04","192","불검출","불검출","적합"
"55","양조간장","지바현","2014-10-20","7,628","불검출","불검출","적합"
"56","혼합제제","오사카부","2014-11-12","25","불검출","불검출","적합"
"57","과자(크래커)","이바라키현","2014-09-17","152","불검출","불검출","적합"
"58","캔디류(사탕)","아이치현","2014-10-29","600","불검출","불검출","적합"
"59","혼합제제","사이타마현","2014-10-29","80","불검출","불검출","적합"
"60","소스류","후쿠오카현","2014-08-21","300","불검출","불검출","적합"
"61","혼합제제","시즈오카현","2014-10-20","125","불검출","불검출","적합"
"62","혼합제제","시즈오카현","2014-10-17","100","불검출","불검출","적합"
"63","혼합제제","시즈오카현","2014-10-17","350","불검출","불검출","적합"
"64","소스류","히로시마현","2014-11-10","3,150","불검출","불검출","적합"
"65","소스류","히로시마현","2014-10-22","1,320","불검출","불검출","적합"
"66","소스류","히로시마현","2014-10-28","3,250.8","불검출","불검출","적합"
"67","소스류","히로시마현","2014-10-15","369","불검출","불검출","적합"
"68","소스류","도치기현","2014-09-16","176","불검출","불검출","적합"
"69","소스류","사이타마현","2014-10-21","501","불검출","불검출","적합"
"70","양조간장","군마현","2014-10-16","127","불검출","불검출","적합"
