"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"35","활꼬막","사가현","2017-01-24","269","불검출","불검출","적합"
"36","냉장대구","홋카이도","2017-01-24","2,000","불검출","불검출","적합"
"37","냉장갈치","에히메현","2017-01-24","80","불검출","불검출","적합"
"38","냉장갈치","효고현","2017-01-24","968","불검출","불검출","적합"
"39","냉장병어","효고현","2017-01-24","40","불검출","불검출","적합"
"40","냉장갈치","후쿠오카현","2017-01-24","3,185","불검출","불검출","적합"
"41","활해삼","사가현","2017-01-24","119","불검출","불검출","적합"
"42","냉장홍어","홋카이도","2017-01-24","3,352","불검출","불검출","적합"
"43","활꼬막(새꼬막)","후쿠오카현","2017-01-24","1,500","불검출","불검출","적합"
"44","냉장홍어","홋카이도","2017-01-24","14,958","불검출","불검출","적합"
"45","냉장명태","홋카이도","2017-01-24","1,652","불검출","불검출","적합"
"46","냉장대구","홋카이도","2017-01-24","3,550","불검출","불검출","적합"
"47","냉장갈치","히로시마현","2017-01-24","1,802","불검출","불검출","적합"
"48","냉장돔(황돔)","나가사키현","2017-01-24","608","불검출","불검출","적합"
"49","냉장가오리","야마구치현","2017-01-24","880","불검출","불검출","적합"
"50","냉장갈치","야마구치현","2017-01-24","850","불검출","불검출","적합"
"51","냉장돔(황돔)","야마구치현","2017-01-24","820","불검출","불검출","적합"
