"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","215","950,669","3","128,580","185","760,146","0","0","27","61,943"
"1.16","46","242,083","1","120,000","38","110,050","0","0","7","12,033"
"1.17","62","121,590","0","0","58","109,532","0","0","4","12,058"
"1.18","65","512,511","1","7,200","57","488,825","0","0","7","16,486"
"1.19","42","74,485","1","1,380","32","51,739","0","0","9","21,366"
"","","","","","","","","","",""
