"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","159,523","-","-","-"
"1","활장어(먹장어)","나가사키현","2017-01-24","961","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2017-01-24","2,481","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2017-01-24","9,268","불검출","불검출","적합"
"4","냉장돔(황돔)","야마구치현","2017-01-24","300","불검출","불검출","적합"
"5","냉장명태","홋카이도","2017-01-24","8,047","불검출","불검출","적합"
"6","활꼬막","후쿠오카현","2017-01-24","4,780","불검출","불검출","적합"
"7","냉장대구","홋카이도","2017-01-24","1,200","불검출","불검출","적합"
"8","냉장갈치","효고현","2017-01-24","2,344","불검출","불검출","적합"
"9","냉장돔(황돔)","야마구치현","2017-01-24","150","불검출","불검출","적합"
"10","냉장가오리","야마구치현","2017-01-24","200","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2017-01-24","300","불검출","불검출","적합"
"12","냉장대구","홋카이도","2017-01-24","3,000","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2017-01-24","8,381","불검출","불검출","적합"
"14","냉장명태","홋카이도","2017-01-24","1,416","불검출","불검출","적합"
"15","냉장명태","홋카이도","2017-01-24","1,469","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2017-01-24","820","불검출","불검출","적합"
