"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","111,306","-","-","-"
"1","냉동새우
(북쪽분홍새우)","후쿠이현","2017-01-23","450","불검출","불검출","적합"
"2","냉동오징어","후쿠오카현","2017-01-23","160","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2017-01-23","4,775","불검출","불검출","적합"
"4","냉장돔(참돔)","후쿠오카현","2017-01-23","465","불검출","불검출","적합"
"5","활가리비","홋카이도","2017-01-23","7,837","불검출","불검출","적합"
"6","냉장갈치","와카야마현","2017-01-23","1,648","불검출","불검출","적합"
"7","냉장돔(참돔)","야마구치현","2017-01-23","145","불검출","불검출","적합"
"8","냉장돔(황돔)","야마구치현","2017-01-23","751","불검출","불검출","적합"
"9","냉장가오리","야마구치현","2017-01-23","310","불검출","불검출","적합"
"10","냉장홍어","야마구치현","2017-01-23","710","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2017-01-23","2,089","불검출","불검출","적합"
"12","냉장명태","홋카이도","2017-01-23","1,694","불검출","불검출","적합"
"13","냉장명태","홋카이도","2017-01-23","1,002","불검출","불검출","적합"
"14","냉장갈치","효고현","2017-01-23","816","불검출","불검출","적합"
"15","냉장병어","효고현","2017-01-23","40","불검출","불검출","적합"
"16","냉장갈치","에히메현","2017-01-23","64","불검출","불검출","적합"
