"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 101건","","","","778,572","","",""
"1","청주","교토부","2018-06-18","2,678","불검출","불검출","적합"
"2","탄산음료","히로시마현","2018-06-14","4,320","불검출","불검출","적합"
"3","탄산음료","히로시마현","2018-06-01","1,080","불검출","불검출","적합"
"4","과자","니가타현","2018-06-04","584","불검출","불검출","적합"
"5","향신료조제품","미야기현","2018-05-14","3,457","불검출","불검출","적합"
"6","조림류","훗카이도","2018-06-21","720","불검출","불검출","적합"
"7","당류가공품","시즈오카현","2018-06-15","1,000","불검출","불검출","적합"
"8","고형차","시즈오카현","2018-06-15","500","불검출","불검출","적합"
"9","즉석조리식품","나가노현","2018-05-30","286","불검출","불검출","적합"
"10","과자","니가타현","2018-06-18","82","불검출","불검출","적합"
"11","기타천연착향료","오사카부","2018-07-04","60","불검출","불검출","적합"
"12","혼합제제","군마현","2018-06-22","60","불검출","불검출","적합"
"13","청주","후쿠시마현","2018-06-12","4,450","불검출","불검출","적합"
"14","카레(커리)","나가노현","2018-03-16","200","불검출","불검출","적합"
"15","즉석조리식품","미에현","2018-05-17","10,722","불검출","불검출","적합"
