"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 87건","","","","456,180","","",""
"1","소스","히로시마현","2019-04-05","5,040","불검출","불검출","적합"
"2","향신료조제품","미야기현","2019-04-08","3,465","불검출","불검출","적합"
"3","과자","나가노현","2019-04-04","3,629","불검출","불검출","적합"
"4","소스","히로시마현","2019-01-25","105","불검출","불검출","적합"
"5","기타 수산물가공품","히로시마현","2019-04-11","12","불검출","불검출","적합"
"6","맥주","후쿠오카현","2019-04-08","227,597","불검출","불검출","적합"
"7","어묵","시마네현","2019-03-01","1,800","불검출","불검출","적합"
"8","어묵","시마네현","2019-02-16","1,470","불검출","불검출","적합"
"9","전분가공품","오사카부","2019-04-02","800","불검출","불검출","적합"
"10","어묵","시마네현","2019-01-16","600","불검출","불검출","적합"
"11","어묵","시마네현","2019-04-16","144","불검출","불검출","적합"
"12","어묵","시마네현","2019-03-16","48","불검출","불검출","적합"
"13","어묵","시마네현","2019-02-01","300","불검출","불검출","적합"
"14","어묵","시마네현","2019-02-01","1,600","불검출","불검출","적합"
"15","어묵","시마네현","2019-03-01","100","불검출","불검출","적합"
