"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 117건","","","","558,956","","",""
"1","청주","와카야마현","2019-02-23","2,808","불검출","불검출","적합"
"2","청주","와카야마현","2019-03-11","1,134","불검출","불검출","적합"
"3","리큐르","와카야마현","2019-03-01","1,771","불검출","불검출","적합"
"4","청주","돗토리현","2019-02-21","173","불검출","불검출","적합"
"5","청주","돗토리현","2019-02-27","648","불검출","불검출","적합"
"6","청주","돗토리현","2019-02-19","158","불검출","불검출","적합"
"7","혼합제제","이바라키현","2019-02-28","15","불검출","불검출","적합"
"8","혼합제제","이바라키현","2019-02-28","15","불검출","불검출","적합"
"9","혼합제제","이바라키현","2019-02-28","40","불검출","불검출","적합"
"10","혼합제제","이바라키현","2019-02-27","100","불검출","불검출","적합"
"11","효모식품","이와테현","2018-11-14","50","불검출","불검출","적합"
"12","염화마그네슘","오카야마현","2019-02-20","17,000","불검출","불검출","적합"
"13","혼합제제","사이타마현","2019-03-04","18","불검출","불검출","적합"
"14","혼합제제","오카야마현","2019-02-28","60","불검출","불검출","적합"
