"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 140건","","","","752,615","","",""
"1","캔디류","아이치현","2018-07-06","157","불검출","불검출","적합"
"2","과자","야마가타현","2018-07-09","144","불검출","불검출","적합"
"3","과자","야마가타현","2018-07-09","149","불검출","불검출","적합"
"4","혼합제제","오카야마현","2018-07-25","390","불검출","불검출","적합"
"5","혼합제제","효고현","2018-07-19","17","불검출","불검출","적합"
"6","혼합제제","효고현","2018-07-20","34","불검출","불검출","적합"
"7","혼합제제","효고현","2018-07-11","51","불검출","불검출","적합"
"8","기타 농산가공품","도치기현","2018-05-02","1,000","불검출","불검출","적합"
"9","합성향료","가나가와현","2018-02-26","41","불검출","불검출","적합"
"10","혼합제제","시즈오카현","2018-05-24","30","불검출","불검출","적합"
"11","맥주","이와테현","","1,200","불검출","불검출","적합"
"12","과자","나가노현","2018-07-17","608","불검출","불검출","적합"
"13","과자","나가노현","2018-07-17","608","불검출","불검출","적합"
"14","과자","나가노현","2018-07-17","567","불검출","불검출","적합"
"15","맥주","후쿠오카현","2018-07-13","23,760","불검출","불검출","적합"
