"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건57","-","-","218,953","-","-","-"
"1","활돔 참돔(
)","에히메현","2015-12-23","5,985","불검출","불검출","적합"
"2","활방어","에히메현","2015-12-23","9,864","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-12-23","6,527","불검출","불검출","적합"
"4","활대합 북방대합
(
)","홋카이도","2015-12-23","609","불검출","불검출","적합"
"5","활조개 비단조개
(
)","홋카이도","2015-12-23","250","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-12-23","7,500","불검출","불검출","적합"
"7","활가리비","홋카이도","2015-12-23","11,000","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-12-23","7,721","불검출","불검출","적합"
"9","냉동다랑어 눈다(
랑어 횟감
,F,
)","대서양","2015-12-23","555","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2015-12-23","384","불검출","불검출","적합"
"11","활장어 먹장어
(
)","나가사키현","2015-12-23","2,851","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2015-12-23","4,985","불검출","불검출","적합"
"13","활장어 먹장어
(
)","야마구치현","2015-12-23","1,216","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2015-12-23","8,980","불검출","불검출","적합"
"15","냉장돔 참돔(
)","야마구치현","2015-12-23","340","불검출","불검출","적합"
