"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","88,641","-","-","-"
"1","냉동연어
(태평양은연어,F)","칠레","2016-12-07","2,100","불검출","불검출","적합"
"2","냉동파타고니아
이빨고기(목살)","아르헨티나","2016-12-07","1,154","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-12-07","11,921","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-12-07","9,360","불검출","불검출","적합"
"5","냉동가자미","러시아","2016-12-07","93","불검출","불검출","적합"
"6","냉동명태","러시아","2016-12-07","49,669","불검출","불검출","적합"
"7","냉동상어
(흑기흉상어)","대만","2016-12-07","1","불검출","불검출","적합"
"8","냉동다랑어
(눈다랑어,F,횟감)","중국","2016-12-07","474","불검출","불검출","적합"
"9","냉동가자미
(각시가자미)","러시아","2016-12-07","4,500","불검출","불검출","적합"
"10","마른명태","러시아","2016-12-07","387","불검출","불검출","적합"
"11","냉동꽁치","대만","2016-12-07","2,410","불검출","불검출","적합"
"12","냉동명태","러시아","2016-12-07","1,040","불검출","불검출","적합"
"13","냉동다랑어
(눈다랑어,F,횟감)","대만","2016-12-07","124","불검출","불검출","적합"
"14","냉동상어
(청상아리,F)","피지","2016-12-07","1","불검출","불검출","적합"
"15","냉동명태(F)","러시아","2016-12-07","2,200","불검출","불검출","적합"
"16","냉동명태(F)","러시아","2016-12-07","3,100","불검출","불검출","적합"
