"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","71,629","-","-","-"
"1","활방어","나가사키현","2016-12-08","4,812","불검출","불검출","적합"
"2","활돔(참돔)","구마모토현","2016-12-08","9,640","불검출","불검출","적합"
"3","냉장갈치","후쿠오카현","2016-12-08","800","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-12-08","3,624","불검출","불검출","적합"
"5","냉장갈치","후쿠오카현","2016-12-08","100","불검출","불검출","적합"
"6","활돔(벵에돔)","오이타현","2016-12-08","597","불검출","불검출","적합"
"7","냉장갈치","후쿠오카현","2016-12-08","1,780","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-12-08","3,000","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-12-08","2,820","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-12-08","2,820","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2016-12-08","1,088","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-12-08","2,660","불검출","불검출","적합"
"13","냉장갈치","에히메현","2016-12-08","624","불검출","불검출","적합"
"14","냉장갈치","효고현","2016-12-08","264","불검출","불검출","적합"
"15","냉장갈치","후쿠오카현","2016-12-08","1,365","불검출","불검출","적합"
"16","냉장병어","후쿠오카현","2016-12-08","350","불검출","불검출","적합"
