"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장명태","홋카이도","2016-12-09","1,006","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-12-09","2,954","불검출","불검출","적합"
"19","활가리비","홋카이도","2016-12-09","6,966","불검출","불검출","적합"
"20","냉장명태","홋카이도","2016-12-09","4,250","불검출","불검출","적합"
"21","냉장갈치","야마구치현","2016-12-09","80","불검출","불검출","적합"
"22","냉장명태","홋카이도","2016-12-09","3,000","불검출","불검출","적합"
"23","활꼬막","후쿠오카현","2016-12-09","520","불검출","불검출","적합"
"24","활꼬막(새꼬막)","후쿠오카현","2016-12-09","2,000","불검출","불검출","적합"
"25","냉장명태","홋카이도","2016-12-09","4,250","불검출","불검출","적합"
"26","냉동가리비
(외투막)","홋카이도","2016-12-09","15,140","불검출","불검출","적합"
"27","냉장홍어","홋카이도","2016-12-09","3,042","불검출","불검출","적합"
"28","마른해삼(자숙)","시마네현","2016-12-09","135","불검출","불검출","적합"
"29","활장어(먹장어)","가나가와현","2016-12-09","3,224","불검출","불검출","적합"
"30","활우렁쉥이","홋카이도","2016-12-09","7,559","불검출","불검출","적합"
"31","활우렁쉥이","홋카이도","2016-12-09","2,635","불검출","불검출","적합"
"32","활우렁쉥이","홋카이도","2016-12-09","10,052","불검출","불검출","적합"
"33","활가리비","홋카이도","2016-12-09","7,192","불검출","불검출","적합"
"34","활우렁쉥이","홋카이도","2016-12-09","9,478","불검출","불검출","적합"
