"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","20건","","","64,136","-","-","-"
"1","활참돔","에히메현","2015-04-22","13,309","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-04-22","7,600","불검출","불검출","적합"
"3","냉장홍어","홋카이도","2015-04-22","5,232","불검출","불검출","적합"
"4","냉장가오리","야마구치현","2015-04-22","300","불검출","불검출","적합"
"5","냉장홍어","야마구치현","2015-04-22","740","불검출","불검출","적합"
"6","활벵에돔","사가현","2015-04-22","1,290","불검출","불검출","적합"
"7","활돌돔","나가사키현","2015-04-22","781","불검출","불검출","적합"
"8","냉장명태","홋카이도","2015-04-22","4,428","불검출","불검출","적합"
"9","냉장명태","홋카이도","2015-04-22","4,452","불검출","불검출","적합"
"10","냉장명태","홋카이도","2015-04-22","1,704","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-04-22","3,228","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2015-04-22","360","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-04-22","3,118","불검출","불검출","적합"
"14","활꼬막","사가현","2015-04-22","500","불검출","불검출","적합"
"15","활새꼬막","사가현","2015-04-22","3,000","불검출","불검출","적합"
"16","냉장준치","구마모토현","2015-04-22","1,218","불검출","불검출","적합"
"17","냉장갈치","효고현","2015-04-22","368","불검출","불검출","적합"
"18","활새꼬막","후쿠오카현","2015-04-22","4,380","불검출","불검출","적합"
"19","활참게","야마구치현","2015-04-22","860","불검출","불검출","적합"
"20","활가리비","홋카이도","2015-04-22","7,268","불검출","불검출","적합"
